tag, x, y, z
"Lillienhoffska palatset", 3768.65, 3350.75, 50.84
"Hovförvaltningens hus", 3726.62, 4492.34, 45.24
"Hantverkskasernen", 4297.79, 4421.59, 27.87
"Europaskolan", 4042.59, 2740.10, 58.13
"Skatteskrapan", 3837.31, 2954.62, 145.61
"Katarina kyrka", 4103.02, 3526.75, 60.21
"Andreaskyrkan", 3819.17, 3453.87, 55.48
"Stockholms moské", 3929.28, 3388.24, 59.93
"Kronprinsesse Märthas kirke", 4447.53, 3473.30, 47.47
"Katarina Norra skola", 4226.81, 3405.83, 62.30
"Södra stadshuset", 3689.92, 3825.20, 42.05
"Mosebacke vattentorn", 3936.63, 3631.98, 91.94
"Göta Arkhuset", 3667.88, 3384.72, 57.43
"Söderhallarna", 3680.33, 3226.66, 57.72
"Söder Torn", 3613.26, 3293.37, 123.59
"Stora Tullhuset", 4543.85, 3620.63, 30.56
"Gildenhaus", 3710.13, 4300.71, 39.37
"Tessinska palatset", 3801.33, 4495.74, 39.91
"Hantverkarbostället", 4688.29, 4173.11, 19.12
"Skridskopaviljongen", 4707.53, 4218.59, 20.13
"Stockholms katolska domkyrka", 3773.02, 3140.97, 50.23
"Lilla Blecktornet", 4626.86, 2601.15, 40.26
"Räntmästarhuset", 3830.21, 4099.79, 35.37
"Folkungakyrkan", 4245.36, 3269.46, 57.02
"Min- och torpeddepartementen", 4396.27, 4708.55, 23.18
"Galleri Mejan", 4404.13, 4491.62, 30.68
"Prästgården", 4473.30, 4445.41, 29.84
"Båtmanskasernen", 4387.28, 4478.88, 38.77
"Byggnadsdepartementet", 4647.61, 4496.68, 26.33
"Styckekranen", 4475.75, 4684.04, 20.94
"Gamla Sjökrigsskolan", 4455.58, 4340.57, 25.52
"Västra kanslihuset", 4560.94, 4467.47, 30.09
"Arresten", 4428.83, 4541.89, 34.73
"KF-huset", 3858.58, 3790.02, 66.75
"Katarinahissen", 3815.87, 3850.32, 32.51
"Finska kyrkan", 3768.63, 4499.18, 41.40
"Allhelgonakyrkan", 3672.76, 2705.70, 61.24
"Paulis malmgård", 3798.43, 3152.14, 47.88
"Tullhus 2", 3959.96, 4283.72, 22.81
"Slaktargården", 4255.56, 3368.80, 56.87
"Östra Uthuslängan", 4641.53, 4350.52, 19.58
"Kasernbefälhavarbostället", 4386.39, 4296.24, 19.64
"Bagarstugan", 4644.68, 4552.36, 17.55
"Smedjan", 4632.18, 4560.11, 17.26
"Årboden", 4663.51, 4534.59, 18.39
"Norra fundamentet", 4580.26, 4555.80, 26.55
"Långa längan", 4679.78, 2832.38, 38.27
"Groens malmgård", 4640.52, 2847.46, 42.87
"Blockmakarens hus", 4447.19, 3507.33, 52.83
"Maxi grillen", 3827.43, 3281.48, 41.09
"Tegelhuset", 3593.93, 3354.81, 46.77
"Küselska huset", 3891.10, 4198.46, 37.95
"Tullhuset", 3906.97, 4224.26, 35.22
"Sjöfartshuset", 3924.30, 4503.34, 38.96
"Flemingska palatset", 3860.48, 4545.33, 39.40
"Brandenburgska huset", 3913.68, 4300.75, 37.57
"Brandstodsbolagets hus", 3927.00, 4411.96, 42.39
"Dångerska huset", 3931.88, 4369.37, 37.70
"Hebbeska huset", 3912.88, 4286.21, 37.63
"Hobelinska huset", 3932.86, 4389.36, 40.73
"Nordström & Thulins hus", 3908.15, 4267.15, 39.57
"Pauliska huset", 3926.30, 4345.96, 37.03
"Ruuthska palatset", 3900.44, 4538.28, 37.95
"Skeppsbron 18", 3932.27, 4438.50, 44.48
"Skeppsbron 44", 3863.59, 4130.05, 42.56
"Skeppsbron 8", 3912.90, 4521.06, 42.27
"Sutthoffska palatset", 3933.99, 4454.40, 44.04
"Thuenska huset", 3907.33, 4252.58, 37.33
"Wittmarckska huset", 3904.05, 4529.03, 38.65
"Grillska huset", 3717.87, 4427.17, 50.47
"Axel Oxenstiernas palats", 3610.53, 4531.18, 43.79
"Östra kanslihuset", 4590.69, 4477.75, 27.55
"Louis De Geers palats", 3646.10, 3763.91, 52.13
"C", 3580.07, 3556.83, 60.93
"Vattentornet", 4323.33, 4450.08, 30.28
"Bellmanhuset", 3730.58, 3716.59, 49.17
"Hans Marschalcks hus", 3639.44, 3865.98, 42.63
"Jacob Grundels hus", 3633.63, 3882.27, 40.28
"Johan Skyttes hus", 3625.68, 3894.38, 37.82
"Söderslottet", 3834.49, 3387.58, 54.59
"Katarina västra vårdgymnasiums gymnastikhall", 3994.50, 3390.44, 63.16
"Stadsgårdshissen", 4407.83, 3611.73, 36.57
"Schantzska huset", 3647.87, 4412.16, 48.41
"Seyfridtzska huset", 3647.10, 4419.54, 45.83
"Stutenska huset", 3619.32, 4471.73, 46.55
"Wichmannska huset", 3868.87, 4489.90, 37.59
"Ringen centrum", 3913.79, 2545.98, 62.62
"Vindragarlagets hus", 3898.32, 4389.32, 36.43
"Bacchus 6", 3881.96, 4409.96, 37.90
"Hôtel Reisen", 3921.53, 4474.33, 44.83
"Cubegreens", 3807.61, 2999.31, 48.48
"Sofia kyrka", 4692.77, 2986.33, 71.61
"Kungliga biblioteket", 3757.17, 5922.79, 34.46
"Operahuset", 3662.01, 4964.48, 48.90
"Jakobs kyrka", 3658.58, 5041.89, 38.54
"Dramaten", 4037.86, 5363.58, 44.94
"Tullhuset", 4138.09, 4958.39, 23.44
"Nationalmuseum", 4105.40, 4819.44, 49.48
"Stora synagogan", 3849.73, 5184.44, 32.11
"Hedvig Eleonora kyrka", 4243.47, 5582.71, 64.47
"Palmhuset", 3816.04, 5381.13, 30.98
"Kronobageriet", 4103.83, 5403.60, 35.36
"Västra stallet", 4714.57, 5459.85, 35.59
"Exercishuset", 4630.10, 5522.43, 41.55
"Ridhuset", 4666.08, 5516.09, 38.46
"Officersstallet", 4699.68, 5592.29, 37.32
"Näringslivets hus", 4385.58, 5603.92, 60.92
"Nordstjernans hus", 3804.73, 5576.53, 50.25
"Waxholmsbolaget", 3912.06, 4929.74, 29.06
"Sillhovet", 4059.82, 4886.34, 40.24
"Nordens Ljus", 4184.28, 4789.44, 20.18
"Utrikesministerhotellet", 3959.00, 5074.19, 39.74
"Råseglarhuset", 4342.79, 4758.32, 14.53
"Östermalms Saluhall", 4078.19, 5664.27, 45.33
"H M Konungens Hovstall", 4139.32, 5325.04, 37.95
"Trefaldighetskyrkan", 4068.66, 5752.40, 44.40
"Glashuset", 4356.70, 5132.80, 23.56
"Happy", 4439.69, 5136.24, 24.93
"Svampen", 3789.84, 5686.01, 34.89
"Douglaska palatset", 3912.07, 5112.81, 49.35
"Musikaliska", 3986.68, 5115.47, 35.65
"Konstnärshuset", 3888.75, 5396.68, 36.62
"Daneliuska huset", 3755.13, 5743.63, 39.85
"Sturepalatset", 3765.38, 5601.57, 46.34
"Svenska Lifs hus", 3782.37, 5418.35, 38.36
"Banérska palatset", 3615.24, 5108.49, 41.40
"Jernkontoret", 3799.31, 5170.85, 38.62
"Thulehuset", 3776.25, 5227.18, 47.22
"Stora Sällskapets hus", 3889.27, 5076.44, 42.12
"Lantmäteristyrelsens hus", 3650.59, 5116.88, 36.40
"Sverigehuset", 3622.90, 5252.86, 47.21
"Bünsowska huset", 4637.24, 5216.12, 41.20
"Palmeska huset", 3848.62, 4984.79, 44.96
"Sankta Eugeniakyrkan", 3813.65, 5202.15, 40.50
"Kungliga Trädgården 3", 3639.91, 5158.07, 36.96
"Nybrogrillen", 3944.56, 5282.92, 31.87
"Hedvig Eleonora skola", 4491.89, 5654.56, 51.51
"PK-huset", 3663.61, 5351.32, 35.76
"Bångska palatset", 3834.79, 5698.62, 42.50
"Roseliuska bostaden", 4706.72, 5551.24, 33.68
"Gamla Jernkontoret", 3810.95, 5091.11, 35.98
"Lilljekvists hus", 3760.32, 5648.30, 50.76
"Åtvidabergshuset", 3752.59, 5294.78, 54.87
"MEA-huset", 3783.68, 5290.48, 49.20
"Toalett Strömparterren 3", 3638.84, 4828.06, 22.91
"Lugnets skola", 5804.37, 2188.03, 25.52
"Sjöstadskapellet", 5630.40, 1939.02, 21.16
